Situation code,ACK  code,Situation code name,Situation Description,Text,Notes,RecordCode,Filename,Probability,SUBSET Code
1,artillery1-1,ACK_POSITIVE,Согласие. Боевая единица подчиняется некоторому приказу.,"Есть, артиллерия слушает!",,artillery1-1-1,artillery1-1-1.wav,50.0,
,,,,Выполняю. ,,artillery1-1-2,artillery1-1-2.wav,50.0,
,,,,(кашляет) Так точно.,,artillery1-1-3,artillery1-1-3.wav,50.0,
,,,,Как прикажете.,,artillery1-1-4,artillery1-1-4.wav,50.0,
,,,,Я готов.,,artillery1-1-5,artillery1-1-5.wav,50.0,
,,,,"Будет сделано, м-да.",,artillery1-1-6,artillery1-1-6.wav,50.0,
,,,,Конечно,,artillery1-1-7,artillery1-1-7.wav,50.0,
2,artillery1-2,ACK_NEGATIVE,Несогласие. Боевая единица не может выполнить некоторый приказ.,"Никак нет, расчет не может выполнить.",,artillery1-2-1,artillery1-2-1.wav,50.0,
,,,,"Невозможно, товарищ командир.",четко и быстро,artillery1-2-2,artillery1-2-2.wav,50.0,
,,,,"Товарищ командир, не могу выполнить.",немного укоризненно,artillery1-2-3,artillery1-2-3.wav,50.0,
,,,,Дайте более подробные указания.,,artillery1-2-4,artillery1-2-4.wav,50.0,
3,artillery1-3,ACK_SELECTED,Реакция боевой единицы на выбор ее игроком.,"Я, командир",,artillery1-3-1,artillery1-3-1.wav,50.0,
,,,,Кому тут артиллерия понадобилась?,,artillery1-3-2,artillery1-3-2.wav,50.0,
,,,,"Эх, постреляем…",(молодцевато),artillery1-3-3,artillery1-3-3.wav,50.0,
,,,,Слушаю!,,artillery1-3-4,artillery1-3-4.wav,50.0,
,,,,Готов выполнять.,,artillery1-3-5,artillery1-3-5.wav,50.0,
,,,,Готов к действиям,,artillery1-3-6,artillery1-3-6.wav,50.0,
,,,,Заряжа-а-ай! Готовсь!,,artillery1-3-7,artillery1-3-7.wav,50.0,
,,,,Аритиллеристы - боги войны... Хех эттт точно.,,artillery1-3-8,artillery1-3-8.wav,5.0,
,,,,"А вот помню на днях ситуевина была…короче солдатик…один…ой а..черт…извините, товарищь командир"," ""Артиллерист рассказывал какую-то историю - а тут его внезапно позвал командир"" Интонация должна показывать извинение и замешательство",artillery1-3-9,artillery1-3-9.wav,2.0,
4,artillery1-4,ACK_INVALID_TARGET,"Боевая единица не может навестись на некоторую цель, по причинам не указазанным в остальных фразах. ",Никак не прицелиться!…,,artillery1-4-1,artillery1-4-1.wav,50.0,
